4x4x4 Cube Combined First Round,Stanley Chapel,AZ 2
4x4x4 Cube Combined First Round,Stanley Nerkowski IV,0
4x4x4 Cube Combined First Round,Timothy Castle,CA 3
4x4x4 Cube Combined First Round,Ty Marshall,0
4x4x4 Cube Combined First Round,Tyler Howlett,0
4x4x4 Cube Combined First Round,Will Newhoff,AZ 3
4x4x4 Cube Combined First Round,Yash Bansal,CA 3
4x4x4 Cube Combined First Round,Zach Goldman,0
4x4x4 Cube Combined First Round,Zachary Clark,CA 3
4x4x4 Cube Combined First Round,Zander Verhoeven,NV 1
4x4x4 Cube Combined First Round,Zeke Miller,CA 2
4x4x4 Cube Combined First Round,Ziqi Li,NV 1
Megaminx Combined First Round,Alex Davani,0
Megaminx Combined First Round,Alex Yang,UT 3
Megaminx Combined First Round,Ant Irizarry,CO 1
Megaminx Combined First Round,Brandon Lin,0
Megaminx Combined First Round,Bryden Rey Mendoza,UT 3
Megaminx Combined First Round,Calvin Nielson,0
Megaminx Combined First Round,Cary Huang,0
Megaminx Combined First Round,Chia-Wei Lu,UT 2
Megaminx Combined First Round,Christian Martin,0
Megaminx Combined First Round,Danny SungIn Park,0
Megaminx Combined First Round,Dawson Lam,UT 1
Megaminx Combined First Round,Devin Corr-Robinett,UT 2
Megaminx Combined First Round,Efrem Blitz,CO 2
Megaminx Combined First Round,Elijah Brown,UT 1
Megaminx Combined First Round,Eric Zhao,0
Megaminx Combined First Round,Ethan Littlejohn,UT 2
Megaminx Combined First Round,Evan Mann,UT 3
Megaminx Combined First Round,Graham Siggins,CO 1
Megaminx Combined First Round,Henry McNamara,CO 3
Megaminx Combined First Round,Hudson Sakai,UT 3
Megaminx Combined First Round,Jack Leo Wilson,CO 3
Megaminx Combined First Round,Jacob Posner,0
Megaminx Combined First Round,Jaden Burkhardt,UT 1
Megaminx Combined First Round,Jandell Ryan Ko,CO 3
Megaminx Combined First Round,Jason Ostdiek,CO 1
Megaminx Combined First Round,Jeongyoon Yeo,UT 3
Megaminx Combined First Round,Jeremy Benik,0
Megaminx Combined First Round,Joe Branch,CO 3
Megaminx Combined First Round,Jonathan Cookmeyer,0
Megaminx Combined First Round,Josh Camia,CO 3
Megaminx Combined First Round,Jungwoo Kim,CO 1
Megaminx Combined First Round,Karen Tu,CO 1
Megaminx Combined First Round,Keaton Ellis,0
Megaminx Combined First Round,Kevin Matthews,0
Megaminx Combined First Round,Kyle Lin,UT 2
Megaminx Combined First Round,Mark Boyanowski,CO 1
Megaminx Combined First Round,Matthew Dickman,0
Megaminx Combined First Round,Michael Chai,0
Megaminx Combined First Round,Michael Young,0
Megaminx Combined First Round,Mitchell Lane,0
Megaminx Combined First Round,Nathan Nakaguchi,CO 2
Megaminx Combined First Round,Nathan Peck,UT 1
Megaminx Combined First Round,Neel Gore,0
Megaminx Combined First Round,Neil Johnson,UT 1
Megaminx Combined First Round,Nicolas Harper,CO 2
Megaminx Combined First Round,Paul Mahvi,0
Megaminx Combined First Round,Reuben San Luis,UT 1
Megaminx Combined First Round,Riley Woo,CO 1
Megaminx Combined First Round,Ryan Jew,0
Megaminx Combined First Round,Ryan Woytowitz,CO 3
Megaminx Combined First Round,Samuel Tong,UT 2
Megaminx Combined First Round,Scott Weston,UT 2
Megaminx Combined First Round,Sean Wang,CO 3
Megaminx Combined First Round,Shane Grogan,CO 1
Megaminx Combined First Round,Siddharth Manchkanti,CO 1
Megaminx Combined First Round,Sophie Chan,UT 1
Megaminx Combined First Round,Stanley Chapel,CO 1
Megaminx Combined First Round,Stanley Nerkowski IV,0
Megaminx Combined First Round,Timothy Castle,CO 2
Megaminx Combined First Round,Ty Marshall,0
Megaminx Combined First Round,Tyler Howlett,0
Megaminx Combined First Round,Zachary Clark,UT 2
Megaminx Combined First Round,Zeke Miller,UT 3
3x3x3 Multi-Blind,Alex Davani,HI 1
3x3x3 Multi-Blind,Andrew Nathenson,HI 3
3x3x3 Multi-Blind,Calvin Nielson,HI 1
3x3x3 Multi-Blind,Chia-Wei Lu,HI 3
3x3x3 Multi-Blind,Danny SungIn Park,HI 3
3x3x3 Multi-Blind,Graham Siggins,HI 3
3x3x3 Multi-Blind,Jacob Posner,HI 3
3x3x3 Multi-Blind,Jae Park,HI1
3x3x3 Multi-Blind,Jason Ostdiek,HI 3
3x3x3 Multi-Blind,Jeff Park,HI 1
3x3x3 Multi-Blind,Jungwoo Kim,HI 3
3x3x3 Multi-Blind,Keaton Ellis,HI 2
3x3x3 Multi-Blind,Kevin Matthews,HI 2
3x3x3 Multi-Blind,Mark Boyanowski,HI 3
3x3x3 Multi-Blind,Nitin Subramanian,HI 1
3x3x3 Multi-Blind,Riley Woo,HI 3
3x3x3 Multi-Blind,Ryan Jew,HI 3
3x3x3 Multi-Blind,Shane Grogan,HI 3
3x3x3 Multi-Blind,Siddharth Manchkanti,HI 3
3x3x3 Multi-Blind,Spencer Stutzman,HI 2
3x3x3 Multi-Blind,Stanley Chapel,HI 3
3x3x3 Multi-Blind,Ty Marshall,HI 3
6x6x6 Cube Combined Final Round,Alex Davani,0
6x6x6 Cube Combined Final Round,Alex Yang,UT 1
6x6x6 Cube Combined Final Round,Andrew Nathenson,0
6x6x6 Cube Combined Final Round,Ant Irizarry,CO 2
6x6x6 Cube Combined Final Round,Brandon Lin,0
6x6x6 Cube Combined Final Round,Calix Tang,CO 1
6x6x6 Cube Combined Final Round,Calvin Nielson,0
6x6x6 Cube Combined Final Round,Cary Huang,0
6x6x6 Cube Combined Final Round,Christian Martin,0
6x6x6 Cube Combined Final Round,Danny SungIn Park,0
6x6x6 Cube Combined Final Round,David Adams,CO 2
6x6x6 Cube Combined Final Round,Dawson Lam,CO 1
6x6x6 Cube Combined Final Round,Devin Corr-Robinett,CO 1
6x6x6 Cube Combined Final Round,Edward Lin,CO 2
6x6x6 Cube Combined Final Round,Efrem Blitz,UT 1
6x6x6 Cube Combined Final Round,Elijah Brown,CO 1
6x6x6 Cube Combined Final Round,Eric Zhao,0
6x6x6 Cube Combined Final Round,Ethan Littlejohn,CO 2
6x6x6 Cube Combined Final Round,Graham Siggins,UT 2
6x6x6 Cube Combined Final Round,Henry McNamara,CO 1
6x6x6 Cube Combined Final Round,Jacob Posner,0
6x6x6 Cube Combined Final Round,Jaden Burkhardt,UT 2
6x6x6 Cube Combined Final Round,Jeremy Benik,0
6x6x6 Cube Combined Final Round,Joe Branch,CO 1
6x6x6 Cube Combined Final Round,Jonathan Cookmeyer,0
6x6x6 Cube Combined Final Round,Keaton Ellis,0
6x6x6 Cube Combined Final Round,Kevin Hays,CO 2
6x6x6 Cube Combined Final Round,Kevin Matthews,0
6x6x6 Cube Combined Final Round,Mark Boyanowski,UT 2
6x6x6 Cube Combined Final Round,Max Park,CO 2
6x6x6 Cube Combined Final Round,Michael Chai,0
6x6x6 Cube Combined Final Round,Michael Young,0
